,open,high,low,close,volume
2005-01-04 09:45:00,178.98,178.98,175.98,178.16,4089.0
2005-01-04 10:00:00,177.89,178.16,176.53,177.07,4399.0
2005-01-04 10:15:00,176.8,178.71,176.26,178.16,5699.0
2005-01-04 10:30:00,177.89,178.16,177.07,178.16,4177.0
2005-01-04 10:45:00,177.89,177.89,177.07,177.89,1786.0
2005-01-04 11:00:00,177.35,177.89,176.8,177.62,5122.0
2005-01-04 11:15:00,177.89,177.89,176.26,177.62,5113.0
2005-01-04 11:30:00,177.62,178.16,177.62,177.62,3397.0
2005-01-04 13:15:00,177.62,178.16,177.35,177.89,3044.0
2005-01-04 13:30:00,177.89,177.89,177.07,177.07,4370.0
2005-01-04 13:45:00,176.8,177.35,176.8,176.8,2299.0
2005-01-04 14:00:00,177.35,177.35,176.53,177.07,4419.0
2005-01-04 14:15:00,177.07,177.62,176.8,177.35,3046.0
2005-01-04 14:30:00,177.62,177.89,177.35,177.35,3775.0
2005-01-04 14:45:00,177.35,177.62,177.07,177.35,4291.0
2005-01-04 15:00:00,177.35,178.16,177.35,177.62,4951.0
2005-01-05 09:45:00,178.44,178.44,177.07,177.89,4736.0
2005-01-05 10:00:00,177.89,178.44,176.8,176.8,4416.0
2005-01-05 10:15:00,176.8,177.07,175.71,176.53,6346.0
2005-01-05 10:30:00,175.98,176.53,173.53,173.53,11202.0
2005-01-05 10:45:00,173.8,174.35,172.99,174.35,10842.0
2005-01-05 11:00:00,174.35,175.17,173.8,175.17,9065.0
2005-01-05 11:15:00,175.17,175.17,174.08,174.35,8972.0
2005-01-05 11:30:00,174.35,177.35,174.35,177.07,10527.0
2005-01-05 13:15:00,177.07,177.07,175.98,175.98,5128.0
2005-01-05 13:30:00,175.98,176.53,175.17,175.17,6318.0
2005-01-05 13:45:00,175.17,175.44,174.62,174.89,3777.0
2005-01-05 14:00:00,175.17,175.17,174.35,174.62,4427.0
2005-01-05 14:15:00,174.89,175.44,174.62,174.62,6598.0
2005-01-05 14:30:00,174.62,175.17,174.35,174.35,5902.0
2005-01-05 14:45:00,174.35,175.17,174.35,175.17,6172.0
2005-01-05 15:00:00,174.89,176.26,174.89,175.98,13550.0
2005-01-06 09:45:00,177.07,179.52,177.07,178.44,11915.0
2005-01-06 10:00:00,178.44,178.98,177.89,177.89,7256.0
2005-01-06 10:15:00,177.89,177.89,176.26,176.8,8799.0
2005-01-06 10:30:00,176.8,177.07,176.26,176.53,7968.0
2005-01-06 10:45:00,176.53,177.07,175.98,177.07,5161.0
2005-01-06 11:00:00,177.07,177.62,176.8,177.07,4487.0
2005-01-06 11:15:00,177.07,177.89,176.8,177.07,5125.0
2005-01-06 11:30:00,177.07,177.35,176.53,177.07,6229.0
2005-01-06 13:15:00,177.07,177.07,176.26,176.8,4460.0
2005-01-06 13:30:00,176.8,177.35,176.26,176.26,3171.0
2005-01-06 13:45:00,176.26,177.35,175.71,176.8,8743.0
2005-01-06 14:00:00,177.07,177.07,176.53,176.8,2446.0
2005-01-06 14:15:00,176.8,177.07,176.53,176.8,4490.0
2005-01-06 14:30:00,176.8,176.8,176.26,176.8,2951.0
2005-01-06 14:45:00,176.8,177.07,176.53,176.8,4387.0
2005-01-06 15:00:00,176.8,177.89,176.8,177.62,9155.0
2005-01-07 09:45:00,179.25,179.25,177.62,177.62,2475.0
2005-01-07 10:00:00,177.89,177.89,177.07,177.07,5533.0
2005-01-07 10:15:00,177.07,177.07,175.98,176.53,3089.0
2005-01-07 10:30:00,176.26,177.35,175.98,177.35,3816.0
2005-01-07 10:45:00,177.07,178.44,176.8,178.44,6702.0
2005-01-07 11:00:00,178.44,179.25,178.16,178.44,6160.0
2005-01-07 11:15:00,178.16,178.71,177.89,178.16,4631.0
2005-01-07 11:30:00,178.16,178.71,177.89,178.16,2473.0
2005-01-07 13:15:00,178.44,178.44,178.16,178.44,3043.0
2005-01-07 13:30:00,178.16,178.44,178.16,178.16,2883.0
2005-01-07 13:45:00,178.16,178.44,177.62,177.89,2087.0
2005-01-07 14:00:00,177.62,178.16,177.07,177.62,6530.0
2005-01-07 14:15:00,177.62,178.16,177.07,177.62,6920.0
2005-01-07 14:30:00,177.62,177.89,177.62,177.62,5039.0
2005-01-07 14:45:00,177.35,177.62,177.07,177.07,2801.0
2005-01-07 15:00:00,177.35,177.62,177.07,177.35,3930.0
2005-01-10 09:45:00,177.35,177.35,175.71,176.26,4141.0
2005-01-10 10:00:00,176.53,177.07,176.26,176.53,2790.0
2005-01-10 10:15:00,176.53,177.35,176.53,177.35,1986.0
2005-01-10 10:30:00,177.07,177.35,177.07,177.07,1854.0
2005-01-10 10:45:00,176.8,176.8,175.71,175.71,7756.0
2005-01-10 11:00:00,175.71,176.53,175.71,175.71,10733.0
2005-01-10 11:15:00,176.53,177.07,173.53,175.71,12467.0
2005-01-10 11:30:00,176.53,177.07,175.98,176.8,3486.0
2005-01-10 13:15:00,176.8,176.8,176.53,176.8,2445.0
2005-01-10 13:30:00,176.8,176.8,175.71,175.98,5826.0
2005-01-10 13:45:00,175.71,176.8,175.71,176.8,6416.0
2005-01-10 14:00:00,176.8,177.89,176.26,177.35,6546.0
2005-01-10 14:15:00,177.35,179.25,177.35,178.98,8744.0
2005-01-10 14:30:00,178.98,179.52,178.98,179.25,10556.0
2005-01-10 14:45:00,179.25,179.25,178.98,178.98,4108.0
2005-01-10 15:00:00,178.98,179.52,178.71,179.52,6635.0
2005-01-11 09:45:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 10:00:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 10:15:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 10:30:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 10:45:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 11:00:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 11:15:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 11:30:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 13:15:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 13:30:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 13:45:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 14:00:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 14:15:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 14:30:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 14:45:00,179.52,179.52,179.52,179.52,0.0
2005-01-11 15:00:00,179.52,179.52,179.52,179.52,0.0
2005-01-12 09:45:00,179.8,179.8,177.35,177.62,8328.0
2005-01-12 10:00:00,177.62,177.62,176.8,177.07,6218.0
2005-01-12 10:15:00,176.8,177.62,176.26,177.07,4738.0
2005-01-12 10:30:00,177.07,178.16,177.07,177.89,4686.0
2005-01-12 10:45:00,177.89,178.16,177.07,177.07,5132.0
2005-01-12 11:00:00,177.07,177.35,176.8,177.35,2410.0
2005-01-12 11:15:00,177.07,177.62,177.07,177.07,1436.0
2005-01-12 11:30:00,177.35,177.35,176.8,177.07,2183.0
2005-01-12 13:15:00,177.07,177.35,176.8,177.35,2465.0
2005-01-12 13:30:00,177.07,177.62,177.07,177.35,2753.0
2005-01-12 13:45:00,177.35,177.62,177.07,177.07,2305.0
2005-01-12 14:00:00,177.07,177.62,177.07,177.07,3094.0
2005-01-12 14:15:00,177.07,177.35,177.07,177.07,2301.0
2005-01-12 14:30:00,177.07,177.62,177.07,177.62,3013.0
2005-01-12 14:45:00,177.35,177.89,177.35,177.89,4280.0
2005-01-12 15:00:00,177.89,177.89,177.35,177.89,4673.0
2005-01-13 09:45:00,177.89,179.25,177.89,178.16,3388.0
2005-01-13 10:00:00,177.89,178.44,177.89,177.89,2084.0
2005-01-13 10:15:00,178.16,178.16,177.89,178.16,2768.0
2005-01-13 10:30:00,177.89,178.44,177.89,178.16,2522.0
2005-01-13 10:45:00,178.16,178.44,177.89,177.89,2143.0
2005-01-13 11:00:00,178.16,178.44,177.89,177.89,2644.0
2005-01-13 11:15:00,178.16,178.44,177.89,178.44,2628.0
2005-01-13 11:30:00,178.16,178.71,177.89,178.71,3744.0
2005-01-13 13:15:00,178.71,178.98,178.44,178.71,4281.0
2005-01-13 13:30:00,178.98,179.8,178.71,179.25,7297.0
2005-01-13 13:45:00,179.52,179.52,179.25,179.52,2706.0
2005-01-13 14:00:00,179.52,179.8,178.44,178.71,5667.0
2005-01-13 14:15:00,178.98,179.25,178.71,178.98,2002.0
2005-01-13 14:30:00,178.98,179.52,178.98,179.25,4443.0
2005-01-13 14:45:00,179.25,179.52,178.71,178.71,5459.0
2005-01-13 15:00:00,178.71,179.25,178.71,178.98,4289.0
2005-01-14 09:45:00,179.25,179.52,177.35,178.16,2400.0
2005-01-14 10:00:00,177.89,178.44,177.62,177.62,2483.0
2005-01-14 10:15:00,177.62,179.8,177.35,179.52,6851.0
2005-01-14 10:30:00,179.25,179.25,178.71,178.98,2098.0
2005-01-14 10:45:00,178.98,179.25,178.44,178.71,2338.0
2005-01-14 11:00:00,178.44,178.98,178.16,178.16,3167.0
2005-01-14 11:15:00,177.89,178.44,177.89,178.16,1962.0
2005-01-14 11:30:00,178.16,178.44,177.62,177.62,4024.0
